序号    基金名称    基金代码    单位净值    累计净值    日增长率    日增长值
70    长城品牌优选股票    200008    1.2254    1.2254    -4.19%    -0.0536
71    长城双动力股票    200010    1.8976    2.0026    -6.12%    -0.1236
72    长城稳健增利债券    200009    1.1240    1.4290    0.09%    0.0010
73    长城消费增值股票    200006    0.9534    2.3934    -5.59%    -0.0565
74    长城医疗保健股票    000339    1.3520    1.3520    -5.78%    -0.0830
75    长城优化升级股票    200015    1.4530    1.5680    -5.59%    -0.0860
76    长城中小盘成长    200012    1.1000    1.1000    -7.56%    -0.0900
77    长盛成长价值基金    080001    1.6960    3.6680    -3.53%    -0.0620
78    长盛城镇化主题    000354    1.6320    1.6990    -5.50%    -0.0950
79    长盛创新先锋灵活    080002    1.4486    2.2356    -4.45%    -0.0675
80    长盛纯债债券A类    000050    1.1550    1.1550    0.00%    0.0000
81    长盛纯债债券C类    000052    1.1460    1.1460    0.00%    0.0000
82    长盛电子信息产业    080012    2.0290    2.5990    -5.50%    -0.1180
83    长盛电子信息主题灵活    000063    1.7850    1.7850    -0.06%    -0.0010
84    长盛动态精选基金    510081    1.5343    3.4921    -4.65%    -0.0748
85    长盛高端装备制造灵活    000534    1.7650    1.7650    -4.44%    -0.0820
86    长盛航天海工装备灵活    000535    1.5150    1.7100    -6.08%    -0.0980
87    长盛沪深300    160807    1.3330    1.3830    -3.75%    -0.0520
88    长盛积极配置债券    080003    1.3794    1.5524    -0.66%    -0.0091
89    长盛量化红利策略    080005    1.8930    1.9330    -6.38%    -0.1290
90    长盛生态环境主题灵活    000598    1.6630    1.6630    -4.97%    -0.0870
91    长盛同德主题增长    519039    1.5164    4.3453    -2.58%    -0.0402
92    长盛同辉深证100等权重分级    160809    0.8200    1.9280    -5.09%    -0.0440
93    长盛同瑞中证200分级    160808    0.7170    1.8760    -5.78%    -0.0440
94    长盛同瑞中证200分级A份额    150064    1.0060    1.2350    0.00%    0.0000
95    长盛同瑞中证200分级B份额    150065    0.5240    2.3030    0.00%    0.0000
96    长盛同禧信用增利A类    080009    1.2980    1.2980    -1.07%    -0.0140
97    长盛同禧信用增利C类    080010    1.2750    1.2750    -1.09%    -0.0140
98    长盛同祥泛资源主题    080008    1.7970    1.8470    0.00%    0.0000
99    长盛同鑫保本混合    080007    1.4860    1.5170    -4.38%    -0.0680
100    长盛同鑫二号保本    080015    1.2540    1.2540    -0.32%    -0.0040
101    长盛同智优势成长    160805    1.3205    2.7807    -5.20%    -0.0724
102    长盛养老健康产业灵活    000684    1.4170    1.4170    -3.74%    -0.0550
103    长盛债券基金    510080    1.4594    2.3134    -0.96%    -0.0141
104    长盛中证100    519100    1.1362    1.7972    -2.04%    -0.0237
105    长信改革红利灵活    519971    1.2520    1.2520    -0.08%    -0.0010
106    长信恒利优势股票    519987    1.3790    1.4100    -5.55%    -0.0810
107    长信金利趋势股票    519994    0.9957    2.8213    -12.64%    -0.1441
108    长信可转债A类    519977    1.6404    2.2004    -2.26%    -0.0380
109    长信可转债C类    519976    1.6189    2.1459    -2.26%    -0.0375
110    长信利丰债券基金    519989    1.3320    1.8250    -1.04%    -0.0140
111    长信利鑫分级A    163004    1.0008    1.1691    0.01%    0.0001
112    长信量化先锋股票    519983    1.9410    1.9410    -6.50%    -0.1350
113    长信内需成长股票    519979    1.6450    2.0950    -7.06%    -0.1250
114    长信双利优选混合    519991    1.7560    2.1620    -5.64%    -0.1050
115    长信银利精选基金    519996    0.9967    2.9167    -10.82%    -0.1209
116    长信增利动态策略    519993    1.2781    2.5271    -5.68%    -0.0769
117    长信中短债基金    519985    1.2526    1.2526    0.02%    0.0002
118    长信中证中央企业100    163001    1.4650    1.4650    -0.20%    -0.0030
119    大成保本混合基金    090013    1.8180    1.8280    -5.66%    -0.1090
120    大成财富2020生命周期    090006    0.8010    2.6230    -4.53%    -0.0380
121    大成策略回报股票    090007    1.6790    2.4540    -5.46%    -0.0970
122    大成创新成长混合    160910    1.0780    2.2890    -7.15%    -0.0830
123    大成核心双动力    090011    1.5710    1.5710    -4.73%    -0.0780
124    大成沪深300    519300    1.2927    2.7027    -3.52%    -0.0471
125    大成积极成长基金    519017    1.5410    2.6980    -5.46%    -0.0890
126    大成价值增长基金    090001    1.1998    3.8598    -4.23%    -0.0530
127    大成精选增值基金    090004    1.3452    3.4102    -7.66%    -0.1116
128    大成景安短融A类    000128    1.1480    1.1480    0.00%    0.0000
129    大成景安短融B类    000129    1.1550    1.1550    0.00%    0.0000
130    大成景恒保本混合    090019    0.9990    1.3370    -0.20%    -0.0020
131    大成景兴信用债A    000130    1.3390    1.3390    -0.52%    -0.0070
132    大成景兴信用债C    000131    1.3280    1.3280    -0.45%    -0.0060
133    大成景旭纯债A类    000152    1.1740    1.1740    0.09%    0.0010
134    大成景旭纯债C类    000153    1.1670    1.1670    0.09%    0.0010
135    大成景阳领先股票    519019    1.0140    4.1520    -4.70%    -0.0500
136    大成景益平稳收益    000695    1.5030    1.5030    -2.97%    -0.0460
137    大成可转债增强    090017    1.5370    1.5470    -6.28%    -0.1030
138    大成蓝筹稳健基金    090003    0.8985    3.4685    -6.55%    -0.0630
139    大成灵活配置混合    000587    2.1220    2.1220    -6.48%    -0.1470
140    大成内需增长股票    090015    2.1910    2.1910    -5.40%    -0.1250
141    大成强化收益债券    090008    1.2467    1.4467    -1.99%    -0.0253
142    大成深证成长40ETF联接    090012    1.1880    1.1880    -3.02%    -0.0370
143    大成新锐产业股票    090018    1.6710    1.8710    -6.39%    -0.1140
144    大成行业轮动股票    090009    1.3050    1.3050    -6.99%    -0.0980
145    大成优选(LOF)    160916    2.1300    1.6790    -3.79%    -0.0839
146    大成债券A\B    090002    1.1857    1.9485    -1.66%    -0.0200
147    大成债券基金C类    092002    1.2009    1.9024    -1.65%    -0.0202
148    大成中小盘(LOF)    160918    1.6490    4.4540    -5.88%    -0.1030
149    大成中证500沪市ETF联接    090020    1.3660    1.3660    -7.45%    -0.1100
150    大成中证红利指数    090010    1.5620    1.5620    -5.22%    -0.0860
151    大成中证内地消费主题    090016    1.3220    1.5790    -4.69%    -0.0650
152    德邦优化配置    770001    1.1484    1.9484    -5.60%    -0.0681
153    东方安心收益保本    400020    1.3042    1.3042    -0.07%    -0.0009
154    东方保本混合基金    400013    1.1850    1.3140    0.00%    0.0000
155    东方策略成长股票    400007    3.1798    3.1798    -6.90%    -0.2358
156    东方多策略灵活    400023    1.2134    1.2134    -0.11%    -0.0013
157    东方核心动力股票    400011    1.5220    1.5220    -3.94%    -0.0624
158    东方红新动力灵活    000480    1.9210    2.0090    -2.78%    -0.0550
159    东方精选混合基金    400003    2.0791    6.2428    -5.06%    -0.1107
160    东方利群型发起式    400022    1.1952    1.1952    -0.10%    -0.0012
161    东方龙混合基金    400001    1.4194    3.1809    -5.22%    -0.0782
162    东方强化收益债券    400016    1.3017    1.3017    -0.08%    -0.0010
163    东方稳健回报债券    400009    1.1320    1.2020    0.00%    0.0000
164    东方新兴成长混合    400025    1.5415    1.5415    -5.32%    -0.0866
165    东方央视财经50    400018    1.5421    1.5421    -2.77%    -0.0439
166    东方增长中小盘    400015    2.6843    2.6843    -3.73%    -0.1039
167    东吴阿尔法灵活    000531    1.2900    1.2900    -0.31%    -0.0040
168    东吴保本混合基金    582003    1.1720    1.1720    -0.26%    -0.0030
169    东吴鼎利分级债券    165807    1.0980    1.1390    0.00%    0.0000
170    东吴嘉禾优势精选    580001    0.8826    2.6026    -7.71%    -0.0737
171    东吴价值成长双动力    580002    1.6742    2.4142    -6.19%    -0.1104
172    东吴进取策略灵活    580005    1.3852    1.4552    -6.32%    -0.0935
173    东吴内需增长混合    580009    1.8940    1.8940    -5.63%    -0.1130
174    东吴深证100    165806    1.3960    1.3960    -4.77%    -0.0700
175    东吴新产业精选    580008    2.3020    2.3020    -6.31%    -0.1550
176    东吴新创业股票    580007    1.6530    1.7130    -5.81%    -0.1020
177    东吴新经济股票    580006    1.6320    1.6320    -4.95%    -0.0850
178    东吴行业轮动股票    580003    0.7822    0.8622    -7.10%    -0.0598
179    东吴优信稳健A类    582001    1.1512    1.1632    0.02%    0.0002
180    东吴优信稳健C类    582201    1.1248    1.1368    0.01%    0.0001
181    东吴中证可转换分级    165809    0.9000    1.2220    -4.56%    -0.0430
182    东吴中证新兴产业    585001    1.3800    1.3800    -6.31%    -0.0930
183    方正富邦创新动力    730001    1.3590    2.1090    -5.36%    -0.0770
184    方正富邦红利精选    730002    1.6500    1.6500    -5.61%    -0.0980
185    富安达策略精选灵活    710002    1.8573    1.8973    -7.12%    -0.1424
186    富安达新兴成长灵活    000755    1.2948    1.2948    -0.20%    -0.0026
187    富安达信用主题轮动纯债A类    000284    1.4223    1.4223    -1.67%    -0.0242
188    富安达信用主题轮动纯债C    000285    1.4114    1.4114    -1.67%    -0.0239
189    富安达优势成长    710001    2.1578    2.1578    -5.01%    -0.1138
190    富安达收益A类    710301    1.4274    1.4474    -3.92%    -0.0582
191    富安达收益C类    710302    1.4099    1.4299    -3.91%    -0.0574
192    富兰克林国海策略回报灵活    450010    1.3220    1.3220    -6.37%    -0.0900
193    富兰克林国海成长动力    450007    1.7500    1.9300    -5.53%    -0.1025
194    富兰克林国海弹性    450002    1.6885    3.1298    -6.45%    -0.1165
195    富兰克林国海沪深300    450008    1.4950    1.4950    -3.42%    -0.0530
196    富兰克林国海健康优质生活    000761    1.1330    1.1330    -6.90%    -0.0840
197    富兰克林国海焦点驱动灵活    000065    1.3760    1.4020    -0.29%    -0.0040
198    富兰克林国海潜力    450003    1.4538    2.0263    -5.60%    -0.0863
199    富兰克林国海强化收益A    450005    1.2442    1.4722    -0.84%    -0.0105
200    富兰克林国海强化收益C    450006    1.0587    1.4498    -0.84%    -0.0090
201    富兰克林国海深化价值    450004    1.4990    1.9690    -6.31%    -0.1010
202    富兰克林国海研究精选    450011    1.7210    1.7210    -6.16%    -0.1130
203    富兰克林国海中国收益    450001    0.7810    2.5332    -3.14%    -0.0253
204    富兰克林国海中小盘    450009    1.7560    1.7560    -6.60%    -0.1240
205    工银瑞信保本2号型发起式    487021    1.3800    1.3800    -0.22%    -0.0030
206    工银瑞信保本混合    487016    1.0850    1.3090    0.00%    0.0000
207    工银瑞信产业债A    000045    1.3160    1.3160    -0.60%    -0.0080
208    工银瑞信产业债B    000046    1.3020    1.3020    -0.61%    -0.0080
209    工银瑞信大盘蓝筹    481008    1.3220    1.7320    -5.77%    -0.0810
210    工银瑞信核心价值    481001    0.4164    4.5802    -7.63%    -0.0344
211    工银瑞信红利股票    481006    1.0218    1.0618    -7.19%    -0.0792
212    工银瑞信沪深300金    481009    1.4787    1.6737    -3.41%    -0.0522
213    工银瑞信基本面量化策略    481017    2.0340    2.0340    -5.79%    -0.1250
214    工银瑞信金融地产行业    000251    2.5720    2.5720    -2.58%    -0.0680
215    工银瑞信精选平衡    483003    0.7748    2.1912    -5.81%    -0.0478
216    工银瑞信睿智中证500    164809    1.8469    1.9245    -6.60%    -0.1305
217    工银瑞信睿智中证500A    150055    1.0309    1.2250    0.02%    0.0002
218    工银瑞信睿智中证500B    150056    2.3909    2.3909    -8.34%    -0.2176
219    工银瑞信深证红利ETF联接    481012    1.2472    1.2472    -3.52%    -0.0455
220    工银瑞信双利A类    485111    1.5840    1.5840    -0.44%    -0.0070
221    工银瑞信双利B类    485011    1.5500    1.5500    -0.51%    -0.0080
222    工银瑞信双债增强    164814    1.1740    1.3540    -0.76%    -0.0090
223    工银瑞信添颐A类    485114    1.9090    1.9090    -0.68%    -0.0130
224    工银瑞信添颐B类    485014    1.8520    1.8520    -0.70%    -0.0130
225    工银瑞信稳健成长    481004    2.3351    2.5851    -7.47%    -0.1886
226    工银瑞信消费服务行业    481013    1.5310    1.5310    -4.31%    -0.0690
227    工银瑞信新财富灵活    000763    1.3140    1.3140    -0.23%    -0.0030
228    工银瑞信信息产业    000263    2.6220    2.6220    -7.61%    -0.2160
229    工银瑞信信用纯债A类    485119    1.1060    1.1060    0.00%    0.0000
230    工银瑞信信用纯债B类    485019    1.0930    1.0930    0.00%    0.0000
231    工银瑞信信用添利A    485107    1.2351    1.6641    -0.77%    -0.0096
232    工银瑞信信用添利B    485007    1.2355    1.6295    -0.77%    -0.0096
233    工银瑞信医疗保健行业    000831    1.6780    1.6780    -6.83%    -0.1230
234    工银瑞信收益A    485105    1.2457    1.7377    -1.04%    -0.0131
235    工银瑞信收益B    485005    1.2429    1.6979    -1.04%    -0.0130
236    工银瑞信中小盘成长    481010    1.6340    1.6340    -6.74%    -0.1180
237    工银瑞信主题策略    481015    2.4990    2.4990    -6.93%    -0.1860
238    光大保德信动态优选    360011    1.7090    2.0390    -4.74%    -0.0850
239    光大保德信均衡精选    360010    1.4242    1.5442    -3.10%    -0.0456
240    光大保德信新增长    360006    1.7996    3.0796    -6.60%    -0.1271
241    光大保德信信用添益A类    360013    1.0410    1.3160    -0.57%    -0.0060
242    光大保德信信用添益C类    360014    1.0320    1.3020    -0.48%    -0.0050
243    光大保德信行业轮动    360016    1.4140    1.8040    -4.01%    -0.0590
244    光大保德信银发商机主题    000589    1.5330    1.7830    -4.84%    -0.0780
245    光大保德信优势    360007    1.3219    1.3219    -2.99%    -0.0407
246    光大保德信增利收益A类    360008    1.0580    1.3040    0.00%    0.0000
247    光大保德信增利收益C类    360009    1.0450    1.2740    0.00%    0.0000
248    光大保德信中小盘    360012    1.5969    1.6269    -4.14%    -0.0690
249    光大红利股票基金    360005    4.2323    4.8903    -3.66%    -0.1608
250    光大量化核心    360001    1.4462    3.4699    -5.35%    -0.0817
251    广发策略优选混合    270006    2.0116    3.2716    -6.75%    -0.1457
252    广发成长优选灵活    000214    1.2970    1.2970    -0.08%    -0.0010
253    广发纯债债券A类    270048    1.1650    1.1900    0.00%    0.0000
254    广发纯债债券C类    270049    1.1620    1.1860    0.00%    0.0000
255    广发大盘成长混合    270007    1.0732    1.0732    -5.55%    -0.0631
256    广发核心精选股票    270008    2.7790    2.9890    -5.64%    -0.1660
257    广发沪深300    270010    1.8030    2.0930    -3.79%    -0.0710
258    广发聚财信用A    270029    1.3450    1.3540    -0.52%    -0.0070
259    广发聚财信用B    270030    1.3310    1.3390    -0.52%    -0.0070
260    广发聚丰股票基金    270005    1.0371    5.5213    -5.45%    -0.0598
261    广发聚富基金    270001    1.4789    3.7889    -5.61%    -0.0879
262    广发聚瑞股票基金    270021    2.2600    2.2600    -4.48%    -0.1060
263    广发聚祥灵活配置    000567    1.7040    1.7040    -5.91%    -0.1070
264    广发聚鑫债券A    000118    1.4820    1.6070    -1.53%    -0.0230
265    广发聚鑫债券C    000119    1.4760    1.6010    -1.53%    -0.0230
266    广发聚优灵活配置    000167    1.6890    1.6890    -6.84%    -0.1240
267    广发内需灵活配置    270022    0.8940    0.9940    -5.30%    -0.0500
268    广发趋势优选灵活    000215    1.2840    1.2840    0.00%    0.0000
269    广发深证100分级    162714    1.2722    1.3601    -4.90%    -0.0656
270    广发双债添利C类    270045    1.1090    1.1090    0.09%    0.0010
271    广发稳健增长基金    270002    1.9503    3.7487    -2.91%    -0.0584
272    广发消费品精选    270041    1.9580    1.9580    -5.64%    -0.1170
273    广发增强债券基金    270009    1.2580    1.4910    0.08%    0.0010
274    广发中小板300ETF联接    270026    1.4840    1.4840    -5.53%    -0.0869
275    国金通用国鑫灵活    762001    1.6622    2.2922    -0.11%    -0.0018
276    国联安安心成长    253010    0.6300    1.9060    -0.16%    -0.0010
277    国联安保本混合    000058    1.1750    1.1750    -0.25%    -0.0030
278    国联安红利股票    257040    1.4230    2.1260    -3.79%    -0.0560
279    国联安精选股票    257020    1.2600    3.5230    -4.47%    -0.0590
280    国联安上证大宗商品ETF联接    257060    0.7090    0.7090    -6.09%    -0.0460
281    国联安双佳信用分级    162511    0.9970    0.9970    0.10%    0.0010
282    国联安双力中小板综指分级    162510    1.9590    2.0270    -6.00%    -0.1250
283    国联安通盈灵活    000664    1.1200    1.1730    -0.09%    -0.0010
284    国联安稳健混合    255010    1.3040    3.0340    -5.03%    -0.0690
285    国联安小盘精选    257010    1.5640    3.7250    -4.92%    -0.0810
286    国联安新精选灵活    000417    1.2120    1.2540    0.00%    0.0000
287    国联安信心定期开放A类    253060    1.1540    1.2190    -0.69%    -0.0080
288    国联安信心定期开放B类    253061    1.1500    1.2070    -0.69%    -0.0080
289    国联安信心增益    253030    1.1960    1.3040    -0.83%    -0.0100
290    国联安优势股票    257030    1.1970    1.7530    -6.56%    -0.0840
291    国联安优选行业    257070    1.9890    2.2900    -6.58%    -0.1400
292    国联安增利A类    253020    1.2400    1.4850    -0.32%    -0.0040
293    国联安增利B类    253021    1.2310    1.4590    -0.32%    -0.0040
294    国联安中证股债动态策略    000060    1.2610    1.2610    -3.37%    -0.0440
295    国联安中证医药100    000059    1.7460    1.7460    -5.47%    -0.1010
296    国联安主题驱动    257050    1.6890    1.6890    -5.80%    -0.1040
297    国泰安康养老定期支付    000367    1.2000    1.2000    -0.33%    -0.0040
298    国泰保本混合基金    020022    1.2430    1.3880    -0.40%    -0.0050
299    国泰成长优选股票    020026    2.2950    2.3170    -6.10%    -0.1490
300    国泰国策驱动灵活    000511    1.3910    1.3910    -0.22%    -0.0030
301    国泰沪深300    020011    0.8252    1.1813    -3.37%    -0.0288
302    国泰价值经典股票    160215    1.5150    1.5150    -7.17%    -0.1170
303    国泰结构转型灵活    000512    1.4460    1.4460    -0.21%    -0.0030
304    国泰金鼎价值精选    519021    0.9800    2.6180    -6.04%    -0.0630
305    国泰金龙行业精选    020003    0.6980    4.3180    -5.68%    -0.0420
306    国泰金龙债券A类    020002    1.0700    1.7180    0.00%    0.0000
307    国泰金龙债券C类    020012    1.0680    1.6940    0.00%    0.0000
308    国泰金鹿保本增值(二期)    020018    1.1700    1.4060    -0.43%    -0.0050
309    国泰金马稳健回报    020005    0.9130    3.7720    -4.50%    -0.0430
310    国泰金牛创新成长    020010    1.8120    2.1850    -5.38%    -0.1030
311    国泰金鹏蓝筹价值    020009    1.5410    2.5590    -5.05%    -0.0820
312    国泰金泰平衡混合    519020    1.0950    1.0040    -0.10%    -0.0011
313    国泰金鑫股票基金    519606    1.4120    1.5330    -5.77%    -0.0860
314    国泰金鹰增长基金    020001    1.4470    4.5870    -6.77%    -0.1050
315    国泰民安增利A    020033    1.1620    1.3030    -0.34%    -0.0040
316    国泰民安增利C    020034    1.1570    1.2890    -0.34%    -0.0040
317    国泰民益灵活(LOF)    160220    1.2450    1.2450    -0.16%    -0.0020
318    国泰目标收益保本    000199    1.2210    1.4450    -7.52%    -0.0980
319    国泰浓益灵活配置    000526    1.2640    1.2640    -0.32%    -0.0040
320    国泰区位优势股票    020015    2.1060    2.1510    -5.69%    -0.1270
321    国泰上证180金融ETF联接    020021    1.6098    1.6098    0.17%    0.0027
322    国泰事件驱动策略    020023    2.1950    2.1950    -5.92%    -0.1380
323    国泰双利债券A类    020019    1.1790    1.4450    -0.08%    -0.0010
324    国泰双利债券C类    020020    1.1620    1.4140    -0.09%    -0.0010
325    国泰淘金互联网    000302    1.1320    1.1320    -0.09%    -0.0010
326    国泰信用互利分级    160217    1.0090    1.3010    0.10%    0.0010
327    国泰信用债券A    020027    1.1660    1.1660    -0.26%    -0.0030
328    国泰信用债券C    020028    1.1520    1.1520    -0.17%    -0.0020
329    国泰中小板300成长ETF联接    020025    1.0600    1.8450    -3.28%    -0.0360
330    国泰中小盘成长    160211    2.0750    2.4770    -6.53%    -0.1450
331    国投瑞银策略精选灵活    000165    1.6060    1.7030    -4.06%    -0.0680
332    国投瑞银成长优选    121008    1.0803    3.0699    -5.97%    -0.0686
333    国投瑞银创新动力    121005    0.9470    2.9346    -6.10%    -0.0615
334    国投瑞银核心企业    121003    1.2456    2.7756    -5.77%    -0.0763
335    国投瑞银沪深300金融地产    161211    1.4309    1.4309    -0.52%    -0.0075
336    国投瑞银景气行业    121002    1.4074    3.3764    -4.86%    -0.0719
337    国投瑞银美丽中国灵活    000663    1.9220    2.0240    -0.10%    -0.0020
338    国投瑞银融华债券    121001    1.7241    3.0661    -3.24%    -0.0577
339    国投瑞银瑞和沪深300    161207    1.6220    1.2170    -3.51%    -0.0590
340    国投瑞银瑞和沪深300之小康份额    150008    1.3690    1.0670    -1.65%    -0.0230
341    国投瑞银瑞和沪深300之远见    150009    1.8750    1.3520    -4.82%    -0.0950
342    国投瑞银瑞源保本    121010    1.0690    1.3180    -0.37%    -0.0040
343    国投瑞银稳定增利    121009    1.1251    1.6061    -0.26%    -0.0029
344    国投瑞银稳健增长    121006    1.4710    2.1010    -6.31%    -0.0990
345    国投瑞银新兴产业(LOF)    161219    1.6830    2.0090    -6.03%    -0.1080
346    国投瑞银医疗保健行业灵活    000523    1.4960    1.5740    -6.91%    -0.1110
347    国投瑞银优化A/B类    121012    1.4390    1.4790    -1.03%    -0.0150
348    国投瑞银优化C类    128112    1.4380    1.4580    -1.03%    -0.0150
349    国投瑞银中高等级A类    000069    1.0830    1.2070    0.09%    0.0010
350    国投瑞银中高等级C类    000070    1.0810    1.1990    0.09%    0.0010
351    国投瑞银中证下游消费服务    161213    1.5340    1.5340    -5.13%    -0.0830
352    国投瑞银中证资源产业    161217    0.7570    0.7570    -5.85%    -0.0470
353    海富通风格优势    519013    0.8790    1.9850    -4.56%    -0.0420
354    海富通股票基金    519005    0.9180    2.8670    -4.08%    -0.0390
355    海富通国策导向    519033    2.2910    2.2910    -1.67%    -0.0390
356    海富通精选贰号    519015    0.8470    1.1670    -4.94%    -0.0440
357    海富通精选基金    519011    0.6165    4.1415    -4.80%    -0.0311
358    海富通领先成长    519025    1.4660    1.6160    -6.39%    -0.1000
359    海富通强化回报    519007    0.9680    2.4640    -5.47%    -0.0560
360    海富通上证非周期行业100ETF联接    519032    1.3680    1.3680    -5.00%    -0.0720
361    海富通上证周期行业50ETF    510110    3.5940    1.4420    -0.83%    -0.0299
362    海富通上证周期行业50联接    519027    1.2830    1.2830    -0.70%    -0.0090
363    海富通收益增长    519003    0.9240    2.5390    -6.19%    -0.0610
364    海富通稳固收益    519030    1.6120    1.6120    -0.56%    -0.0090
365    海富通稳健添利A类    519024    1.1990    1.2900    0.08%    0.0010
366    海富通稳健添利C类    519023    1.1800    1.2710    0.08%    0.0010
367    海富通新内需灵活    519130    1.3700    1.3700    0.00%    0.0000
368    海富通养老收益    519050    1.3320    1.3320    -0.08%    -0.0010
369    海富通中小盘股票    519026    1.3600    1.3600    -5.82%    -0.0840
370    海富通中证100(LOF)    162307    1.1870    1.1870    -2.14%    -0.0260
371    海富通中证内地低碳    519034    1.7470    1.7470    -6.38%    -0.1190
